M,K,N,dtype,median_ms,mean_ms,min_ms,max_ms,p95_ms,tflops,iters
2048,5120,256,torch.float16,0.0335,0.0336,0.0324,0.045,0.0347,160.39,100
2048,256,5120,torch.float16,0.0339,0.0342,0.0332,0.0455,0.0348,158.28,100
