M,K,N,dtype,median_ms,mean_ms,min_ms,max_ms,p95_ms,tflops,iters
2048,8192,8192,torch.float16,0.5954,0.6177,0.5842,0.6803,0.6792,461.65,100
4096,8192,8192,torch.float16,1.184,1.2133,1.0467,1.4472,1.4468,464.31,100
