M,K,N,dtype,median_ms,mean_ms,min_ms,max_ms,p95_ms,tflops,iters
2048,8192,8192,torch.float16,0.6023,0.6211,0.5926,0.6718,0.6711,456.35,100
4096,8192,8192,torch.float16,1.125,1.1864,1.0382,1.4472,1.4467,488.68,100
