M,K,N,dtype,median_ms,mean_ms,min_ms,max_ms,p95_ms,tflops,iters
2048,8192,256,torch.float16,0.0376,0.038,0.0355,0.0524,0.0408,228.46,100
2048,256,8192,torch.float16,0.0399,0.0405,0.0382,0.0497,0.0447,215.09,100
